,lon,lat,year,month,"('prec',)","('temp',)"
11357,-44.75,-23.0,2009,6,-0.6933860083916368,-1.688185175088861
4772,-45.75,-23.0,2004,9,-0.9933469743554008,0.7384390752485067
7590,-45.25,-23.5,2001,7,-0.4944323064768953,0.3410679458837428
4488,-45.75,-23.0,1981,1,1.5287738006868599,0.9291606307394508
617,-46.5,-23.25,1998,6,-1.0968585507362172,-1.7813181442397208
9633,-45.0,-23.25,2001,10,-0.057105171498803925,0.040435745931566784
8060,-45.25,-23.25,2006,9,-0.41791165189430246,-0.314631412199892
7266,-45.5,-22.5,2008,7,-1.2316276551101657,-2.0488665734926257
8211,-45.25,-23.0,1985,4,0.3014752534906553,0.40963810567538356
5969,-45.5,-23.25,2002,6,-1.0777515751677154,-0.4115451514110016
3627,-46.0,-22.75,2011,4,-0.2572646534251498,-0.012799935723247885
313,-46.5,-23.5,2007,2,0.11866045326969728,1.3972922692480143
8040,-45.25,-23.25,2005,1,0.48920592606661656,1.108442307790035
3920,-45.75,-23.5,2001,9,-0.5491561685420222,0.07327559598179867
2482,-46.0,-23.25,1983,11,0.029710989336719604,0.35569911948250327
11959,-44.75,-22.5,1991,8,-1.0959310276503675,-1.5831000941346691
7435,-45.25,-23.5,1988,8,-1.1431419527201128,-0.01298287621001791
2545,-46.0,-23.25,1989,2,1.569121054921318,0.8663641307871053
1145,-46.25,-23.5,2008,6,-0.5842165411871375,-1.0126875909908146
2430,-46.0,-23.5,2013,7,-0.6373636140063202,-1.2827118148315326
10553,-45.0,-22.75,2010,6,-1.095096256873103,-1.9885043435414427
9877,-45.0,-23.0,1988,2,2.9420407265959114,0.7554134291052017
8365,-45.25,-23.0,1998,2,1.5881352781812352,1.5367756789707971
2649,-46.0,-23.25,1997,10,-0.15264004934131378,0.5271794011076709
8794,-45.25,-22.75,1999,11,-0.15672115091905217,-0.18432087078995307
11167,-44.75,-23.0,1993,8,-1.0408361563509008,-1.2908831565746524
6882,-45.5,-22.75,2010,7,-0.8352970405266271,-1.5211442492763858
3867,-45.75,-23.5,1997,4,-0.5004612065349177,0.37674540615120516
4614,-45.75,-23.0,1991,7,-1.0030859667568217,-1.7095729506662871
8429,-45.25,-23.0,2003,6,-1.0874905675691362,-0.6099095539054475
7898,-45.25,-23.25,1993,3,1.1183448351984073,0.8574479599192316
7422,-45.25,-23.5,1987,7,-0.8184161203641641,0.44595382497455754
11869,-44.75,-22.5,1984,2,-0.8728617255035364,1.2214911175671215
5197,-45.75,-22.75,2006,2,1.3150724817071098,0.9441399720265476
2741,-46.0,-23.25,2005,6,-1.069032858160729,-0.9311489833580687
7076,-45.5,-22.5,1992,9,0.07024374818834762,-1.0554102926716453
1197,-46.25,-23.5,2012,10,-0.3990829332515553,1.3518751155403752
7555,-45.25,-23.5,1998,8,-0.7802021692271601,0.7721976930767895
9576,-45.0,-23.25,1997,1,1.4636616800602174,0.8754980879488246
7291,-45.5,-22.5,2010,8,-1.230885636641486,-1.5012647163789368
